id,dominio,tarea,claseUX,clasePrimaria,hoy,superficieCRI9,origenDeLaUbicacion,motivo,expanded,medium,compact,rutaPuntero,rutaTactil,precision,criticidad,decisionCRI8
SEL-01,Selección,Seleccionar un objeto,3 Contextual a selección (es la fuente del contexto),3,"Lienzo (clic/tap), Datasheet (fila), paleta (por ID), Model Doctor (localizar), tarjetas de Results (objeto crítico).",detail,regla (clase 3),Contextual a selección: presencia gobernada por la selección.,dock 320px con reflow · presencia contextual a la selección,inset 300px sin reflow · presencia contextual a la selección,"sheet con detents · lado inferior en retrato, lateral en apaisado (CB-6)",V + clic; Shift para acumular; Alt cicla candidatos solapados.,Tap; pulsación larga arma acciones adicionales (`long-press`).,SÍ — es el problema de precisión central del producto.,esencial,"La selección única es la restricción que hace posible todo lo contextual. CRI-9 debe construir sobre ella, no romperla."
SEL-02,Selección,Resolver objetos solapados con puntero,4 Canvas-local + 6 Workflow temporal,4,"Lienzo, automático.",canvas,regla (clase 4),Canvas-local: vive en el lienzo o en su superficie de vista.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),Clic repetido o Alt+clic; el picker es navegable.,NO DISPONIBLE — hueco explícito y verificado en `StructuralCanvas.tsx:1241-1244`.,ES la respuesta a la precisión con puntero.,esencial,HUECO DE PARIDAD: el mejor mecanismo de precisión del producto está apagado justo en el método de entrada que más lo necesita.
SEL-03,Selección,Seleccionar con marco (box select),4 Canvas-local,4,Lienzo.,canvas,regla (clase 4),Canvas-local: vive en el lienzo o en su superficie de vista.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),Arrastre; Shift para acumular. La pista está en el rail (`selection-tip`).,NO DISPONIBLE. La ruta táctil a multiselección es el Datasheet o taps acumulativos.,"No, pero sí para la multiselección.",esencial,"HUECO DE PARIDAD nº 2: seleccionar varios objetos en el lienzo táctil no tiene equivalente. La ruta de reserva (Datasheet) existe, pero es otra tarea mental."
SEL-04,Selección,Multiselección acumulativa,3 Contextual a selección,3,"Lienzo (Shift+clic, marco) + Datasheet (filas, rango).",detail,regla (clase 3),Contextual a selección: presencia gobernada por la selección.,dock 320px con reflow · presencia contextual a la selección,inset 300px sin reflow · presencia contextual a la selección,"sheet con detents · lado inferior en retrato, lateral en apaisado (CB-6)",Shift+clic; rango con Shift en el Datasheet.,Vía Datasheet.,Sí.,esencial,"Multiselección de CARGAS no existe como estado. Si CRI-9 quiere «acciones válidas para la selección», debe saber que ese caso no se puede expresar hoy."
SEL-05,Selección,Deseleccionar,3 Contextual a selección,3,Escape + clic en el fondo.,detail,regla (clase 3),Contextual a selección: presencia gobernada por la selección.,dock 320px con reflow · presencia contextual a la selección,inset 300px sin reflow · presencia contextual a la selección,"sheet con detents · lado inferior en retrato, lateral en apaisado (CB-6)",Escape.,Tap en vacío.,No.,esencial,Escape es el contrato de cancelación del producto. Cualquier superficie nueva debe respetarlo.
SEL-06,Selección,Filtrar qué tipos son seleccionables,4 Canvas-local (hoy clasificado como 8 Configuración),4,"Inspector › Vista › sección «Precisión CAD», tras `selectionDragHelp`.",view,decisión CRI-9,"D-10: el filtro de selección es visibilidad del lienzo, no una preferencia.",inset invocado desde el disparador flotante del lienzo,inset invocado,sheet invocada,Chips con `aria-pressed`.,Tap.,"ES una herramienta de precisión, y vive donde nadie la busca durante la selección.",contextual,"FUNCIÓN DEMASIADO ESCONDIDA nº 3: una herramienta de precisión de selección enterrada en una pestaña de preferencias del Inspector, y sin realimentación en el lienzo."
SEL-07,Selección,Precisión táctil: ver bajo el dedo,4 Canvas-local,4,Automática sobre el lienzo.,canvas,regla (clase 4),Canvas-local: vive en el lienzo o en su superficie de vista.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),No aplica.,Automática. NO se activa durante un tap simple de selección: sólo tras armarse una interacción.,"ES la respuesta táctil a la precisión, y está bien construida.",esencial,LA LUPA YA EXISTE Y NO CUBRE LA SELECCIÓN SIMPLE. Es donde Onshape sí llega (touch-and-hold → Precision Selector → soltar para seleccionar). CRI-9 debe decidir si se amplía o si el long-press ya lo cubre.
CNV-01,Lienzo,"Encuadrar, acercar y alejar",4 Canvas-local,4,"Chrome flotante sobre el lienzo, esquina.",canvas,regla (clase 4),Canvas-local: vive en el lienzo o en su superficie de vista.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),Rueda para zoom; espacio+arrastre o botón central para pan; botón «ajustar».,Pinza para zoom; un dedo para pan (por eso no hay marco de selección).,El zoom ES una herramienta de precisión: acercarse resuelve solapamientos.,esencial,El chrome flotante debería escalar con el lienzo o retirarse cuando el lienzo es pequeño. Hoy hace lo contrario.
CNV-02,Lienzo,Orientarse con el minimapa,4 Canvas-local,4,"Esquina del lienzo, siempre.",canvas,regla (clase 4),Canvas-local: vive en el lienzo o en su superficie de vista.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),No verificado si es navegable por teclado.,No verificado si acepta tap para desplazar la cámara.,No.,secundaria,¿Un minimapa permanente se justifica cuando el modelo cabe entero? Hoy ocupa lo mismo en ambos casos.
CNV-03,Lienzo,Controlar qué capas se ven,4 Canvas-local,4,Disparador flotante sobre el lienzo (`canvas-layer-trigger`) + 5 comandos de preset en la paleta.,view,decisión CRI-9,D-10: dueño único de la visibilidad.,inset invocado desde el disparador flotante del lienzo,inset invocado,sheet invocada,Tap/clic; presets por paleta.,Tap.,Ocultar capas ES una herramienta de precisión (reduce candidatos).,contextual,"DUPLICACIÓN INNECESARIA CONFIRMADA: dos sistemas de visibilidad (capas del lienzo y ajustes del Inspector › Vista) gobiernan lo mismo desde sitios distintos, sin relación visible entre ellos."
CNV-04,Lienzo,Activar rejilla y ajuste (snap),4 Canvas-local,4,"Inspector › Vista (los cinco destinos) + comandos `view:grid` y `view:snap` en la paleta + chips de estado sobre el lienzo (SÓLO informativos, no accionables).",view,decisión CRI-9,D-10 + P-11: los chips informativos pasan a accionables.,inset invocado desde el disparador flotante del lienzo,inset invocado,sheet invocada,Casillas o comandos de paleta.,Casillas en la hoja.,ES la herramienta de precisión principal con puntero.,esencial,"Los chips ocupan lienzo para informar de algo que no dejan cambiar. Si van a estar ahí, ¿por qué no son el control?"
CNV-05,Lienzo,Leer la posición y la escala actuales,4 Canvas-local,4,Chrome de estado del lienzo.,canvas,regla (clase 4),Canvas-local: vive en el lienzo o en su superficie de vista.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),Se actualiza con el movimiento.,Sustituido por la cota de la lupa.,Sí.,esencial,Es el precedente interno de «responder al método de entrada». CRI-9 puede citarlo como patrón existente.
CNV-06,Lienzo,Saber en qué modo está el lienzo,4 Canvas-local + 6 Workflow temporal,4,Esquina superior del lienzo.,canvas,regla (clase 4),Canvas-local: vive en el lienzo o en su superficie de vista.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),Informativo; el botón X cancela.,Igual.,No.,esencial,El badge es el único sitio donde el producto explica el gesto correcto. ¿Es suficiente o hace falta más?
CNV-07,Lienzo,Navegar el modelo con el teclado,4 Canvas-local + 7 Power-user,4,El propio lienzo.,canvas,regla (clase 4),Canvas-local: vive en el lienzo o en su superficie de vista.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),Tab/Shift+Tab; teclas de herramienta; Delete; Escape.,No aplica.,ES una ruta de precisión: tabular no falla nunca el objetivo.,esencial,"Con miles de objetos, tabular uno a uno no escala. ¿Hay un nivel intermedio (grupos, saltos)? Hoy no."
CNV-08,Lienzo,Arrastrar un nudo,4 Canvas-local + 3 Contextual a selección,4,Lienzo.,canvas,regla (clase 4),Canvas-local: vive en el lienzo o en su superficie de vista.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),Arrastre; snap activo.,Arrastre con lupa.,Sí; resuelta por snap + lupa + alternativa numérica.,esencial,El patrón de transacción es correcto y debería ser el contrato para cualquier gesto continuo nuevo.
CNV-09,Lienzo,Exportar el lienzo como imagen,2 Contextual a proyecto,2,Menú de exportación + «Más» + paleta.,output,decisión CRI-9,D-09.,drawer invocado desde una única entrada,drawer invocado,sheet invocada,Menú.,Tap.,No.,secundaria,—
CNV-10,Lienzo,Ver el modelo en modo impresión,9 Fullscreen / datos densos,9,Entrada «Imprimir» en el menú de exportación y en «Más».,output,decisión CRI-9,D-09.,drawer invocado desde una única entrada,drawer invocado,sheet invocada,Menú o Ctrl+P del navegador.,Menú.,No.,secundaria,La composición de impresión es la prueba de que «retirar todo el chrome» no rompe nada. CRI-9 debería mirarla como referencia interna.
INS-01,Inspector,Ver y editar las propiedades del objeto seleccionado,5 Inspector/detail + 3 Contextual a selección,5,"Panel lateral de 320px SIEMPRE presente en Expanded, aunque no haya selección. Hoja inferior en Compact.",detail,regla (clase 5),"Inspector/detail: ficha del objeto, una sola implementación.",dock 320px con reflow · presencia contextual a la selección,inset 300px sin reflow · presencia contextual a la selección,"sheet con detents · lado inferior en retrato, lateral en apaisado (CB-6)",Tab por campos; commit en blur/Enter.,Hoja con detents; teclado en pantalla gestionado vía `visualViewport`.,"ES la ruta de precisión numérica: el lienzo aproxima, el Inspector es exacto.",esencial,DECISIÓN CENTRAL: el Inspector es contextual a la selección en su CONTENIDO pero global permanente en su PRESENCIA. Sin selección ocupa 320px para mostrar un estado vacío.
INS-02,Inspector,Aplicar un material de catálogo,3 Contextual a selección + 5 Inspector/detail,3,"Inspector, sección de miembro.",detail,regla (clase 3),Contextual a selección: presencia gobernada por la selección.,dock 320px con reflow · presencia contextual a la selección,inset 300px sin reflow · presencia contextual a la selección,"sheet con detents · lado inferior en retrato, lateral en apaisado (CB-6)",Selector.,Selector.,No.,esencial,"Ejemplo canónico del enunciado de CRI-8: puerta individual = Inspector, masiva = Bulk Edit/Datasheet, en lote = generador. Las tres escriben el MISMO comando."
INS-03,Inspector,Aplicar una sección de catálogo,3 Contextual a selección + 5 Inspector/detail,3,Inspector.,detail,regla (clase 3),Contextual a selección: presencia gobernada por la selección.,dock 320px con reflow · presencia contextual a la selección,inset 300px sin reflow · presencia contextual a la selección,"sheet con detents · lado inferior en retrato, lateral en apaisado (CB-6)",Selector.,Selector.,No.,esencial,La previsualización de sección necesita espacio propio. En una hoja Compact compite con el resto de propiedades.
INS-04,Inspector,Editar varios objetos a la vez (Bulk Edit),3 Contextual a selección + 5 Inspector/detail,3,"Dentro del Inspector, sustituyendo la ficha individual.",detail,regla (clase 3),Contextual a selección: presencia gobernada por la selección.,dock 320px con reflow · presencia contextual a la selección,inset 300px sin reflow · presencia contextual a la selección,"sheet con detents · lado inferior en retrato, lateral en apaisado (CB-6)",Tab por campos; aplicar explícito.,"Hoja; la revisión pide altura, que es justo lo que falta en Compact.",No.,esencial,Bulk Edit y el Datasheet resuelven «masivo» de dos formas distintas (por propiedad vs por celda). Ambas legítimas; CRI-9 debe decir cuándo lleva a cuál.
INS-05,Inspector,Gestionar casos de carga y combinaciones,2 Contextual a proyecto/análisis + 5 Inspector/detail,2,Inspector › pestaña Cargas. Es la ÚNICA puerta a crear casos y combinaciones.,analysis-setup,decisión CRI-9,D-02: casos y combinaciones no dependen de la selección; salen del panel de la selección.,inset invocado desde el botón Analizar,inset invocado,sheet invocada,Tab; navegación de pestañas por flechas/Home/End (`onTabKeyDown`).,Hoja.,Campos de factor numéricos finos.,esencial,"INCOHERENCIA DE UBICACIÓN: definir hipótesis no es una propiedad de la selección, pero vive dentro del panel de selección. Es contextual a PROYECTO, no a OBJETO."
INS-06,Inspector,Ajustar la visualización del modelo y de los resultados,4 Canvas-local + 8 Configuración,4,Pestaña «Vista» del Inspector — 4 secciones y ~20 controles.,view,decisión CRI-9,D-02 + D-10: los ~20 ajustes de visualización son estado de vista del lienzo.,inset invocado desde el disparador flotante del lienzo,inset invocado,sheet invocada,Tab por ~20 controles.,Hoja con scroll largo.,"Contiene los controles de precisión (snap, filtros) — ver SEL-06.",contextual,"SEGUNDA INCOHERENCIA: los ajustes del LIENZO viven en el panel de la SELECCIÓN, mientras el control de capas vive sobre el lienzo. Dos sistemas, dos sitios, un solo dibujo."
INS-07,Inspector,Elegir la herramienta de carga desde el Inspector,3 Contextual a selección (débil) + 1 Global persistente (duplicado),3,"Inspector › Cargas, sección «Añadir carga».",toolrail,decisión CRI-9,D-09: cinco lanzadores para tres herramientas; sobrevive el del rail y el dock táctil.,dock 164px con etiquetas,"dock 76px sólo iconos (el tier que hoy es código muerto, F-01)",floating — dock horizontal de 5 destinos sobre el lienzo (se conserva tal cual),Tab + Enter.,Tap.,No.,contextual,DUPLICACIÓN INNECESARIA: cinco lanzadores para las mismas tres herramientas. En Compact tiene sentido (la hoja está abierta); en Expanded el rail ya está a la vista.
RES-01,Resultados,Leer el resumen del análisis,2 Contextual a análisis,2,"Panel Results, familia «Estado».",dense,decisión CRI-9,D-03: el resumen es dato denso invocado.,drawer inferior · dock fijable sólo si CB-1 y CB-4 lo permiten (≈≥1700px),drawer con estado `peek` al localizar,fullscreen con estado `peek` al localizar,Flechas/Home/End entre pestañas; comando de paleta.,Tap en pestaña.,No.,esencial,DECISIÓN CENTRAL: el panel reserva altura antes de que exista un resultado. El contenido es 100% contextual al análisis; la presencia no.
RES-02,Resultados,Leer reacciones y localizar la máxima,2 Contextual a análisis + 9 Datos densos,2,"Panel Results, familia «Estado».",dense,decisión CRI-9,D-03: tabla de reacciones.,drawer inferior · dock fijable sólo si CB-1 y CB-4 lo permiten (≈≥1700px),drawer con estado `peek` al localizar,fullscreen con estado `peek` al localizar,Tab por celdas-botón.,Tap.,Celdas de tabla pequeñas.,esencial,La tabla de reacciones y el Datasheet muestran datos del mismo modelo con dos motores de tabla distintos.
RES-03,Resultados,"Leer los diagramas N, V y M",2 Contextual a análisis + 3 Contextual a selección + 4 Canvas-local (el overlay),2,Panel Results + overlay sobre el lienzo (capa `results`).,view,decisión CRI-9,D-03: elegir N/V/M es elegir capa; el detalle del miembro va a `detail`.,inset invocado desde el disparador flotante del lienzo,inset invocado,sheet invocada,Flechas entre pestañas; cursor sobre la gráfica.,Tap; el modo enfocado da altura real al diagrama.,Leer un valor en una posición exacta: resuelto por cursor y por corte.,esencial,"RESULTS NO ES UNA UNIDAD: el diagrama tiene una parte de panel (la gráfica), una de lienzo (el overlay), una de selección (qué miembro) y una de datos densos (la tabla). CRI-9 puede separarlas."
RES-04,Resultados,Ver la deformada,2 Contextual a análisis + 4 Canvas-local,2,Panel Results + overlay en el lienzo.,view,decisión CRI-9,D-03: la deformada es una capa.,inset invocado desde el disparador flotante del lienzo,inset invocado,sheet invocada,Pestaña.,Tap.,No.,esencial,El control de escala vive en el Inspector y el resultado en Results: dos paneles para una lectura.
RES-05,Resultados,Consultar el índice elástico estimado,2 Contextual a análisis + 3 Contextual a selección,2,Tarjeta dentro de Results; capa `heatmap` del lienzo (apagada por defecto).,view,decisión CRI-9,D-03: el mapa de demanda es una capa; su valor por objeto va a `detail`.,inset invocado desde el disparador flotante del lienzo,inset invocado,sheet invocada,Lectura; el heatmap se activa desde capas.,Igual.,No.,esencial,Es la mejor prueba de que el producto sabe decir «no puedo». Ese contrato debe sobrevivir a cualquier reorganización.
RES-06,Resultados,Entender la fiabilidad del resultado,2 Contextual a análisis + 1 Global persistente (el chip),2,Texto de estado en la cabecera de Results (con `title` = mensaje del check gobernante) + chip del TopBar + tarjeta de calidad numérica.,topbar,decisión CRI-9,D-03 + D-14: la fiabilidad es la afirmación más crítica; chip permanente + causa invocable enfocable.,band,band,"band (identidad comprimida, acciones a iconos de 44px)","El detalle está en un `title`, no alcanzable por teclado.",El `title` no aparece en táctil: la causa gobernante es INVISIBLE sin ratón.,No.,esencial,"HUECO: la EXPLICACIÓN de por qué un resultado es limitado o no fiable vive en un `title` HTML, que no existe en táctil ni por teclado. La información más crítica del producto tiene la ruta más débil."
RES-07,Resultados,Ver líneas de influencia,2 Contextual a análisis + 9 Datos densos,2,Pestaña de Results.,dense,decisión CRI-9,D-03: líneas de influencia piden superficie propia.,drawer inferior · dock fijable sólo si CB-1 y CB-4 lo permiten (≈≥1700px),drawer con estado `peek` al localizar,fullscreen con estado `peek` al localizar,Pestaña + cursor.,Tap.,Sí: leer un valor en una posición.,contextual,Es datos densos dentro de un panel de 285px. Candidata clara a superficie propia.
RES-08,Resultados,Aprender por qué salió ese resultado,2 Contextual a análisis + 9 Datos densos,2,"Pestaña de Results, disponible en AMBOS modos (no sólo Aula).",dense,decisión CRI-9,D-03: «Entender» es la vista más larga del panel.,drawer inferior · dock fijable sólo si CB-1 y CB-4 lo permiten (≈≥1700px),drawer con estado `peek` al localizar,fullscreen con estado `peek` al localizar,Pestaña.,Tap.,No.,contextual,Contenido explicativo largo dentro de un panel corto: el modo «enfocado» ya lo reconoce. ¿Debe ser una superficie propia?
RES-09,Resultados,Cambiar la altura y el modo del panel de resultados,9 Fullscreen / datos densos + 8 Configuración de layout,9,Cabecera del panel (`results-mode-control`) + tirador + botón de enfoque en móvil.,layout-intent,decisión CRI-9,D-04: el modo y la altura del panel desaparecen con el panel; queda el pin del dock denso.,"Intención de layout, no superficie: lo consume el resolutor (D-04).","Intención de layout, no superficie: lo consume el resolutor (D-04).","Intención de layout, no superficie: lo consume el resolutor (D-04).","Botones de modo; el tirador es `role=""separator""`.",Tap en el modo; arrastre del tirador de 64×28.,El tirador es fino.,contextual,"COMPACT YA HACE LO CORRECTO (colapsado por defecto, se abre cuando hay algo que enseñar). Expanded reserva altura desde el arranque. Es la misma inversión que el canvas-budget general."
RES-10,Resultados,Saber de dónde sale un número (procedencia),2 Contextual a análisis + 5 Detail,2,Tarjeta al pie del cuerpo de Results.,detail,decisión CRI-9,"D-03: la procedencia se lee junto al objeto y su cursor, no al pie de un panel.",dock 320px con reflow · presencia contextual a la selección,inset 300px sin reflow · presencia contextual a la selección,"sheet con detents · lado inferior en retrato, lateral en apaisado (CB-6)",Lectura; sigue al cursor.,Lectura.,No.,esencial,"Debe sobrevivir a cualquier reorganización de Results. Si Results se descompone, la procedencia tiene que seguir al número, no quedarse en un panel."
RES-11,Resultados,Localizar el objeto de un resultado en el modelo,4 Canvas-local (destino) + 2/3 (origen),4,"Cuatro emisores, un solo consumidor (el lienzo).",canvas,decisión CRI-9,Destino del contrato de navegación profunda; `focus-object` se conserva tipado.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),Enter sobre el botón.,Tap.,ES una ruta de precisión no espacial.,esencial,"ESTE ES EL TEJIDO QUE MANTIENE COHERENTES LAS «VARIAS PUERTAS AL MISMO MODELO». Cualquier superficie nueva debe emitir `focus-object`, no inventar navegación."
DAT-01,Datasheet,Ver el modelo como tabla,9 Fullscreen / datos densos,9,`Drawer` inferior modal sobre el lienzo.,dense,regla (clase 9),"Datos densos / fullscreen: invocada, nunca residente.",drawer inferior · dock fijable sólo si CB-1 y CB-4 lo permiten (≈≥1700px),drawer con estado `peek` al localizar,fullscreen con estado `peek` al localizar,Navegación de rejilla completa (`datasheetGridNavigation`).,Scroll y tap; los controles finos (13×13) son el peor caso táctil.,"SÍ, y es donde peor está resuelta: la casilla de rótula es una edición estructural real en 13×13 px.",esencial,"¿Debe seguir siendo modal, o puede coexistir con el lienzo como en RFEM/ETABS? Hoy enfocar un objeto obliga a cerrarla."
DAT-02,Datasheet,Buscar dentro de la tabla,9 Datos densos,9,"Campo `type=""search""` en la barra de la tabla.",dense,regla (clase 9),"Datos densos / fullscreen: invocada, nunca residente.",drawer inferior · dock fijable sólo si CB-1 y CB-4 lo permiten (≈≥1700px),drawer con estado `peek` al localizar,fullscreen con estado `peek` al localizar,Teclear.,Campo de 19.5px de alto: difícil de acertar.,No para buscar; sí para acertar el campo.,esencial,—
DAT-03,Datasheet,Filtrar y ordenar,9 Datos densos,9,Chips bajo la barra de la tabla.,dense,regla (clase 9),"Datos densos / fullscreen: invocada, nunca residente.",drawer inferior · dock fijable sólo si CB-1 y CB-4 lo permiten (≈≥1700px),drawer con estado `peek` al localizar,fullscreen con estado `peek` al localizar,Chips con `aria-pressed`; encabezado ordenable.,Tap.,No.,contextual,"Los filtros del Datasheet, las capas del lienzo y el filtro de selección resuelven «reducir el universo» de tres maneras distintas en tres sitios."
DAT-04,Datasheet,Seleccionar filas y sincronizar con el lienzo,9 Datos densos + 3 Contextual a selección,9,Rejilla de la tabla.,dense,regla (clase 9),"Datos densos / fullscreen: invocada, nunca residente.",drawer inferior · dock fijable sólo si CB-1 y CB-4 lo permiten (≈≥1700px),drawer con estado `peek` al localizar,fullscreen con estado `peek` al localizar,Rejilla navegable por teclado.,Tap y rango.,Acertar una fila es más fácil que acertar un nudo.,esencial,"La tabla es hoy la ÚNICA vía táctil a la multiselección, pero tapa el lienzo mientras se usa: se selecciona sin ver lo que se selecciona."
DAT-05,Datasheet,Editar una celda,9 Datos densos,9,Rejilla.,dense,regla (clase 9),"Datos densos / fullscreen: invocada, nunca residente.",drawer inferior · dock fijable sólo si CB-1 y CB-4 lo permiten (≈≥1700px),drawer con estado `peek` al localizar,fullscreen con estado `peek` al localizar,"Enter edita, Escape cancela, commit al confirmar.",Tap + teclado en pantalla.,"SÍ, y mal resuelta en el caso de la casilla booleana.",esencial,"La regla «un cambio simple se aplica solo, varios pasan por revisión» es un contrato de interacción propio. Merece enunciarse como patrón, no quedarse en un comentario."
DAT-06,Datasheet,Pegar un bloque de celdas,9 Datos densos + 7 Power-user,9,Ctrl+V sobre la rejilla.,dense,regla (clase 9),"Datos densos / fullscreen: invocada, nunca residente.",drawer inferior · dock fijable sólo si CB-1 y CB-4 lo permiten (≈≥1700px),drawer con estado `peek` al localizar,fullscreen con estado `peek` al localizar,Ctrl+V.,UNKNOWN: no se verificó una ruta táctil de pegado.,No.,esencial,Pegar es la operación masiva más potente y no tiene ruta táctil. Mismo hueco que MOD-13.
DAT-07,Datasheet,"Revisar, aplicar o cancelar un cambio pendiente",6 Workflow temporal,6,Panel lateral dentro del drawer.,transient,regla (clase 6),Workflow temporal: superficie efímera con ciclo de vida registrado.,overlay sobre el lienzo,overlay,overlay,Aplicar / Cancelar explícitos.,Igual.,No.,esencial,"Este patrón (borrador → plan → preview → escritura única) existe en Datasheet, Bulk Edit, edición estructural, generadores y Model Doctor. Son CINCO implementaciones del mismo contrato."
DAT-08,Datasheet,Editar el objeto enfocado desde el panel editor,5 Inspector/detail dentro de 9 Datos densos,5,Panel lateral del drawer.,detail,decisión CRI-9,D-12: el panel editor deja de reimplementar la ficha y aloja la superficie `detail`.,dock 320px con reflow · presencia contextual a la selección,inset 300px sin reflow · presencia contextual a la selección,"sheet con detents · lado inferior en retrato, lateral en apaisado (CB-6)",Tab por campos.,Scroll + campos.,Mejor que la celda: campos etiquetados.,contextual,"DUPLICACIÓN A EVALUAR: hay TRES fichas de propiedades del mismo objeto (Inspector, DatasheetEditorPanel, Bulk Edit). Las tres escriben el mismo modelo, pero son tres interfaces distintas para la misma lectura."
DAT-09,Datasheet,Cambiar de entidad (nudos / barras / cargas),9 Datos densos,9,Barra de la tabla.,dense,regla (clase 9),"Datos densos / fullscreen: invocada, nunca residente.",drawer inferior · dock fijable sólo si CB-1 y CB-4 lo permiten (≈≥1700px),drawer con estado `peek` al localizar,fullscreen con estado `peek` al localizar,Tab + Enter.,Tap.,No.,esencial,"Sólo tres entidades. Apoyos, materiales, secciones y combinaciones no tienen tabla."
DAT-10,Datasheet,Enfocar en el lienzo el objeto de la fila,4 Canvas-local (destino),4,Botón del panel editor.,canvas,decisión CRI-9,"D-11: localizar degrada la tabla a `peek`, no la cierra.","layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),Enter.,Tap.,Ruta de precisión no espacial.,esencial,Que enfocar EXIJA cerrar la tabla es la prueba de que hoy son destinos alternativos y no vistas coordinadas. RFEM y ETABS resuelven esto con tablas acopladas.
DOC-01,Model Doctor,Diagnosticar el modelo antes de analizar,2 Contextual a proyecto/análisis,2,"`Drawer` lateral en escritorio, INFERIOR bajo 700px (`useCompactDoctor`).",doctor,decisión CRI-9,Superficie propia bien resuelta; sólo cambia su acceso y su umbral.,drawer lateral,drawer lateral con `peek` al localizar,sheet/fullscreen con `peek` al localizar,Tab por hallazgos.,Scroll + tap.,No.,esencial,"El lanzador no dice cuántos hallazgos hay, aunque el sistema ya lo calcula para el toast."
DOC-02,Model Doctor,Filtrar hallazgos por severidad,2 Contextual a proyecto,2,Cabecera del drawer.,doctor,decisión CRI-9,Filtro dentro de su superficie.,drawer lateral,drawer lateral con `peek` al localizar,sheet/fullscreen con `peek` al localizar,Tab + Enter.,Tap.,No.,contextual,—
DOC-03,Model Doctor,Entender un hallazgo,5 Detail,5,"Tarjeta del drawer, con disclosure.",doctor,decisión CRI-9,El modelo qué/por qué/qué hacer se generaliza en D-14.,drawer lateral,drawer lateral con `peek` al localizar,sheet/fullscreen con `peek` al localizar,Botón `aria-expanded` con `aria-controls`.,Tap.,No.,esencial,Este modelo de tres textos es el mismo que necesitaría cualquier estado de error del producto. Hoy sólo lo tiene Model Doctor.
DOC-04,Model Doctor,Localizar el objeto de un hallazgo,4 Canvas-local (destino),4,Botón de la tarjeta.,canvas,decisión CRI-9,D-11: localizar degrada el Doctor a `peek`.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),Enter.,Tap.,Ruta de precisión no espacial.,esencial,Igual que DAT-10: localizar exige cerrar el diagnóstico. SkyCiv mantiene el resalte con el panel abierto («Preview»).
DOC-05,Model Doctor,Previsualizar y aplicar una reparación de topología,6 Workflow temporal,6,"Vista sustitutiva dentro del drawer, con botón de volver.",transient,decisión CRI-9,"D-13: reparación preparada, nivel A del contrato.",overlay sobre el lienzo,overlay,overlay,Foco al botón de volver al entrar; Aplicar / Cancelar / Regenerar.,Scroll largo + botones de 44px.,No.,esencial,Es el workflow temporal más completo del producto y vive dentro de un drawer. ¿Merece superficie propia?
DOC-06,Model Doctor,Reconocer (acknowledge) un hallazgo,2 Contextual a proyecto,2,Botón de la tarjeta.,doctor,decisión CRI-9,Reconocer un hallazgo.,drawer lateral,drawer lateral con `peek` al localizar,sheet/fullscreen con `peek` al localizar,Enter.,Tap.,No.,contextual,"El reconocimiento se pierde al recargar la app. ¿Debe persistir? Es una decisión de producto, no un defecto."
DOC-07,Model Doctor,Saltar del hallazgo a la herramienta que lo arregla,6 Workflow temporal,6,Botón de la tarjeta.,contextual-actions,decisión CRI-9,Saltar del hallazgo a la herramienta que lo arregla.,inset — barra anclada al borde del lienzo mientras hay selección,inset,inset — banda sobre el dock de herramientas mientras hay selección,Enter.,Tap.,No.,contextual,"Elige la herramienta pero NO la selección: el usuario queda con la herramienta correcta y sin el objeto. Comparar con DOC-04, que sí selecciona."
