"ID","Dominio","Tarea de usuario","Objetivo del usuario","Implementación actual verificada","Archivos / componentes","Tests / QA / evidencia","Frecuencia esperada","Fuente de la frecuencia","Criticidad","Objeto / contexto del que depende","Precondiciones","Dónde vive hoy","Rutas alternativas actuales","Findings CRI-7 relacionados","Qué funciona bien y debe conservarse","Clasificación UX","Expanded: ruta funcional propuesta","Medium: ruta funcional propuesta","Compact: ruta funcional propuesta","Mouse / keyboard path","Touch path","Necesidad de precisión especial","¿Puede ser contextual a selección?","Visibilidad persistente o disclosure","Superficie apropiada","Disabled / loading / error","Feedback esperado","Focus / Escape / Cancel / Reset","Impacto en canvas-budget","Decisión para CRI-9","Patrón para CRI-10","Unknowns / preguntas abiertas"
"SHL-09","Shell","Elegir el orden de análisis (1.º orden / P-Delta)","Decidir si se consideran efectos de segundo orden.","`settings.analysisMode` vía `updateProjectAnalysisSettings`, que invalida el análisis.","src/features/topbar/TopBar.tsx:387-398, 488; src/engine/pDelta.ts; src/store/ProjectContext.tsx:446-460","src/engine/pDelta.test.ts; src/engine/advancedAnalysis.test.ts","baja","inferencia","esencial","Proyecto.","Ninguna.","TopBar zona contexto + «Más».","Dos puertas.","F-06.","Cambiarlo invalida el análisis: no quedan resultados de primer orden etiquetados como P-Delta.","2 Contextual a proyecto/análisis","Select en TopBar.","Igual.","«Más» › Análisis.","Select.","Select.","No.","No.","persistente en Expanded","canvas chrome","—","Análisis invalidado.","—","Parte del TopBar.","Baja frecuencia, alta criticidad: es el caso donde ""poco usado"" no puede significar ""escondido"".","Cómo se marca que un ajuste invalida lo que hay en pantalla.","Frecuencia real."
"SHL-10","Shell","Ajustar los parámetros avanzados de P-Delta","Controlar pasos de carga, iteraciones y tolerancias de convergencia.","`PDeltaAdvancedConfig`: un `<details>` con 6 campos numéricos, que sólo aparece cuando `analysisMode === ""p-delta""`, y ÚNICAMENTE dentro del menú «Más».","src/features/topbar/TopBar.tsx:489, 561-599; src/engine/pDelta.ts (DEFAULT_PDELTA_CONFIG)","src/engine/pDelta.test.ts; src/engine/pDeltaBenchmarks.test.ts","avanzada","inferencia","contextual","Modo P-Delta activo.","`analysisMode === ""p-delta""`.","SÓLO dentro del popover «Más», bajo un `<details>` colapsado, dentro de una sección.","NINGUNA. Es la función más escondida del producto: tres niveles de disclosure y ninguna otra ruta.","F-06 (cajón heterogéneo).","Aparición condicionada al modo: es un buen ejemplo de contextualidad ya implementada.","8 Configuración + 2 Contextual a análisis","Idéntico a Compact: «Más» › details. No gana nada por tener más espacio.","Igual.","Igual.","Tab hasta «Más», abrir, expandir `details`, tabular 6 campos.","Igual, con 6 campos numéricos dentro de un popover.","Campos numéricos finos dentro de un popover: caso claro de precisión insuficiente.","No.","disclosure (triple)","modal (popover)","Ignora valores no finitos (`Number.isFinite`).","Análisis invalidado.","Hereda el manejo de Escape del popover.","Nulo.","FUNCIÓN DEMASIADO ESCONDIDA nº 1. La configuración de convergencia de un análisis no lineal no debería vivir bajo un `details` dentro de un popover.","Grupo de parámetros numéricos avanzados con sus valores por defecto visibles.","Si algún usuario ha llegado a estos campos."
"SHL-11","Shell","Cambiar el sistema de unidades","Leer y escribir en las unidades de trabajo propias.","`settings.units` (kN-m, N-mm, kgf-m, kip-ft). `toDisplay`/`fromDisplay` convierten en el borde de presentación; el modelo se guarda siempre en unidades internas.","src/features/topbar/TopBar.tsx:399-415, 494; src/engine/units.ts","src/engine/units.test.ts; src/features/results/phase1NumericInvariance.test.ts","baja","inferencia","esencial","Proyecto.","Ninguna.","TopBar zona contexto + «Más» › Preferencias.","Dos puertas.","F-02 (`units-select` mide 58×30, bajo el mínimo de 36).","RESTRICCIÓN PROTEGIDA CUMPLIDA: cambiar unidades no reinterpreta el modelo. La conversión ocurre en un solo sitio y hay un test de invariancia numérica que lo sostiene.","8 Configuración / preferencias","Select en TopBar.","Igual.","«Más» › Preferencias.","Select.","Select de 58×30 — bajo el mínimo táctil.","No.","No.","persistente en Expanded","canvas chrome","—","Todos los números en pantalla se reexpresan. No hay aviso.","—","Parte del TopBar.","Es preferencia, pero de consecuencia visible inmediata en cada cifra. ¿Preferencia o contexto de lectura?","Cómo se indica la unidad activa sin repetirla en cada celda.","Frecuencia de cambio dentro de una sesión."
"SHL-12","Shell","Cambiar el idioma","Trabajar en español o inglés.","`settings.language`. Paridad forzada por tipos: `export const en: Catalog` obliga a que cada clave exista en ambos.","src/features/topbar/TopBar.tsx:495; src/features/welcome/WelcomeScreen.tsx (languageControl); src/i18n/catalogs.ts","El compilador es el gate (CRI-7 §5).","baja","inferencia","configuración","Ninguno.","Ninguna.","Welcome (cabecera y drawer) + «Más» › Preferencias. NO está en el TopBar de Expanded fuera del cajón.","Dos puertas, en pantallas distintas.","F-06 (mezclado con acciones de trabajo).","Paridad de catálogos garantizada por el sistema de tipos: no hay cadenas huérfanas.","8 Configuración / preferencias","«Más» › Preferencias.","Igual.","Igual.","Select.","Select.","No.","No.","disclosure","modal (popover)","—","Toda la interfaz cambia. `document.documentElement.lang` se sincroniza.","—","Nulo.","Ubicación correcta hoy; el problema es que comparte cajón con Deshacer.","—","—"
"SHL-13","Shell","Cambiar el tema (claro / oscuro)","Adaptar la lectura a la luz ambiente.","`ProjectContext` resuelve el tema en JS y escribe SIEMPRE un `data-theme` explícito. Space3D duplica esta resolución.","src/store/ProjectContext.tsx:45-49; src/features/topbar/TopBar.tsx:496; src/features/workspace/CommandPalette.tsx:213-219; src/features/welcome/WelcomeScreen.tsx (themeControl); src/features/space3d/Space3DWorkspace.tsx:50","src/design-system/tokens.test.ts","baja","inferencia","configuración","Ninguno.","Ninguna.","CUATRO sitios: Welcome, «Más», Command Palette, y Space3D con su propia lógica.","Duplicación excesiva de puertas + duplicación REAL de lógica en Space3D.","F-12 (paleta técnica distinta en oscuro; sin suscripción a `matchMedia`, no sigue el cambio del sistema; el producto ofrece 2 estados donde el Brandbook describe 3).","Escribir siempre `data-theme` evita colores huérfanos dentro de `@media` (Brandbook §14.4).","8 Configuración / preferencias","«Más» + paleta.","Igual.","Igual.","Comando de paleta o botón.","Tap.","No.","No.","disclosure","modal","Sólo dos: no existe «según el sistema».","Cambio inmediato.","—","Nulo.","Space3D duplica la resolución de tema — infracción de ""no duplicar lógica por presentación"".","Tercer estado «según el sistema» que el Brandbook describe y el producto no tiene.","—"
"SHL-14","Shell","Abrir Model Doctor","Revisar el modelo antes o después de analizar.","Comando `open-model-doctor` del bus. Se emite desde el botón del TopBar, el menú «Más», la paleta, `AnalysisStatus` y la tarjeta de análisis fallido de Results.","src/features/topbar/TopBar.tsx:176-185, 421-430, 485; src/features/workspace/CommandPalette.tsx:125-135; src/features/results/ResultsPanel.tsx (FailedResults); src/features/workspace/workspaceCommands.ts:39-40","src/features/model-doctor/ModelDoctor.test.tsx; scripts/qa-model-doctor.mjs; CRI-7 flujo 06","media","inferencia","esencial","Proyecto.","Ninguna: diagnostica sin haber analizado.","Botón propio en TopBar (oculto por CSS bajo 1024px), «Más» (3.ª entrada), paleta, AnalysisStatus, Results fallido.","CINCO puertas — el caso más duplicado del producto, y en su mayoría legítimo porque cada una nace de un problema distinto.","F-06 (pierde afordancia directa bajo 1024px; el botón se oculta con `display:none` en `styles.css:4713-4715`).","Que la ruta de reserva sea COMPLETA en Compact. El problema es de jerarquía, no de capacidad.","2 Contextual a proyecto/análisis","Botón con texto (colapsa a icono bajo 1536px).","Icono en TopBar.","«Más» › Análisis, tercera entrada, sin señal visual de que hay hallazgos.","Tab + Enter; también desde la paleta.","Dos toques en Compact.","No.","No.","persistente en Expanded / disclosure en Compact","drawer","Suspense con `role=""status""` mientras carga el chunk.","Toast automático cuando cambia la firma de hallazgos (`WorkspaceShell.tsx:158-182`).","Recuerda el disparador (`doctorReturnFocusRef`) y hace `inert` el shell cuando la superficie confirma estar lista.","Un botón en Expanded; nada en Compact.","¿El acceso debe ser permanente o debe aparecer cuando HAY hallazgos? El toast ya sabe cuándo los hay.","Indicador de severidad en el lanzador (hoy no existe: el botón no dice si hay 0 o 12 hallazgos).","Frecuencia real de apertura preventiva vs reactiva."
"SHL-15","Shell","Abrir la hoja de datos (Datasheet)","Ver y editar el modelo como tabla.","Comando `open-datasheet`. Botón de icono en TopBar y comando de paleta (grupo «herramientas»). Carga perezosa.","src/features/topbar/TopBar.tsx:431-437; src/features/workspace/CommandPalette.tsx:138-148; src/features/workspace/WorkspaceShell.tsx:140-156","src/features/datasheet/DatasheetPanel.test.tsx; CRI-7 flujo 07","media","inferencia","esencial","Proyecto.","Ninguna.","Icono en TopBar + paleta. En Compact el icono NO se oculta (a diferencia de Model Doctor).","Dos puertas.","F-06 (el arnés lo marcaba `unreachable`; se comprobó a mano que es limitación del arnés).","Al abrir se sitúa sobre lo que ya estaba seleccionado en el lienzo, en vez de mandar a la fila 1.","9 Fullscreen / datos densos","Icono en TopBar → Drawer inferior.","Igual.","Igual.","Tab + Enter, o paleta.","Tap.","No.","Sí, ya lo es: la entidad inicial se deriva del tipo de selección.","persistente","drawer (bottom)","Suspense; se cierra al cambiar de proyecto.","Drawer inferior sobre el lienzo.","Recuerda el lanzador ANTES de abrir, porque la paleta se desmonta (`datasheetReturnFocusRef`).","Un icono en el TopBar; el drawer tapa el lienzo mientras está abierto.","¿El Datasheet es un destino modal o una vista coordinada? Hoy es modal y cerrarse es parte de enfocar un objeto (DAT-10).","Lanzador de superficie densa.","—"
"SHL-16","Shell","Ocultar / mostrar el Inspector","Recuperar ancho para el modelo.","`layout.inspectorCollapsed`, persistido en `localStorage`. Si `fullCanvas` está activo, el toggle lo desactiva y muestra el Inspector.","src/features/workspace/useWorkspaceLayoutPreferences.ts; src/features/workspace/WorkspaceShell.tsx:246-254; src/features/topbar/TopBar.tsx:504-507","src/features/workspace/useWorkspaceLayoutPreferences.test.tsx; src/features/workspace/AppShellLayout.test.tsx","media","inferencia","contextual","Estar en Expanded.","Ninguna.","SÓLO dentro del menú «Más» › Vistas.","Ninguna. No hay botón directo ni atajo.","F-01 (la palanca para arreglar el canvas-budget YA existe; lo que falla es el valor por defecto y la cascada).","Persistencia tolerante a fallos de `localStorage` (try/catch que nunca interrumpe el editor).","8 Configuración de layout (hoy) / debería estudiarse como 4 Canvas-local","«Más» › Vistas.","Igual.","No aplica: en Compact el Inspector ya es hoja.","Tres pasos: abrir «Más», bajar a Vistas, activar.","Igual.","No.","No.","disclosure","modal (popover)","—","El lienzo se ensancha.","El menú se cierra tras la acción.","IMPACTO MÁXIMO: el Inspector ocupa 27.6% del viewport en 1024×768, más que el propio lienzo (24.6%).","FUNCIÓN DEMASIADO ESCONDIDA nº 2. El control que más canvas-budget devuelve está a tres pasos dentro de un cajón de 19 entradas.","Afordancia de colapso de panel en el borde del propio panel (hoy el Inspector sólo tiene tirador de ANCHO, no de colapso).","Cuántos usuarios han encontrado esta preferencia."
"SHL-17","Shell","Entrar/salir de «mesa completa»","Dar todo el ancho al modelo.","`layout.fullCanvas`, persistido. `data-full-canvas` en el shell.","src/features/workspace/useWorkspaceLayoutPreferences.ts; src/features/workspace/AppShellLayout.tsx:46; src/features/topbar/TopBar.tsx:508-511","src/features/workspace/useWorkspaceLayoutPreferences.test.tsx","baja","inferencia","contextual","Expanded.","Ninguna.","SÓLO «Más» › Vistas.","Ninguna.","F-01.","Existe y persiste.","8 Configuración de layout","«Más» › Vistas.","Igual.","Presente pero de efecto menor.","Tres pasos.","Igual.","No.","No.","disclosure","modal (popover)","—","Layout recompuesto.","—","Alto impacto positivo.","Se solapa con SHL-16 sin que la diferencia sea evidente: ocultar Inspector vs mesa completa.","—","Qué hace exactamente `fullCanvas` que no haga `inspectorCollapsed`."
"SHL-18","Shell","Contraer el ToolRail a iconos","Recuperar 88px de ancho.","`layout.toolRailCompact` → prop `compact` del `ToolRail`, que llega a cada `ToolButton` y oculta copia y `kbd`.","src/features/workspace/WorkspaceShell.tsx:262; src/features/canvas/ToolBar.tsx:180, 364-371; src/design-system/components/editor.tsx:47-58","src/features/canvas/ToolBar.test.tsx","baja","inferencia","contextual","Expanded.","Ninguna.","SÓLO «Más» › Vistas.","Ninguna.","F-01 (`styles.css:3512` fuerza el rail a 164px entre 1024 y 1439, matando dos reglas anteriores que lo dejaban en 76px; y `styles.css:3514` revierte el colapso a iconos).","El mecanismo funciona: `compact` está bien propagado por el design system.","8 Configuración de layout","«Más» › Vistas.","Igual — y es justo donde más falta hace.","No aplica (el rail ya es dock flotante).","Tres pasos.","Igual.","No.","No.","disclosure","modal (popover)","—","El rail se estrecha.","—","ToolRail = 14.1% del viewport en 1024×768.","El usuario tiene que corregir a mano un reparto que la app debería proponer bien. CRI-9 debe fijar el valor por defecto por clase de ventana.","Rail de sólo iconos: cómo se conserva la descubribilidad sin la etiqueta.","Coste real en descubribilidad de herramientas (H-1 de CRI-7 pide medirlo)."
"SHL-19","Shell","Redimensionar el Inspector","Ajustar el reparto entre panel y lienzo.","Tirador con `role=""separator""`, `aria-valuemin/max/now`, arrastre por puntero y ajuste por teclado (flechas ±16, Shift ±48, Home/End a los extremos). `clamp` 280-480px.","src/features/inspector/Inspector.tsx:140-160, 187-204; src/features/workspace/useWorkspaceLayoutPreferences.ts:15-31","src/features/inspector/Inspector.test.tsx","baja","inferencia","contextual","Expanded, Inspector visible.","`onDesktopWidthChange` presente (no en modal).","Borde izquierdo del Inspector.","Ninguna.","F-01 (el ancho se escribe inline en `AppShellLayout.tsx:48`, y una declaración inline en un ancestro gana siempre a `:root`; por eso `--inspector-w: 290px` de `styles.css:979` nunca se aplica).","ES EL MEJOR CONTROL DE REDIMENSIÓN DEL PRODUCTO: puntero y teclado con semántica ARIA completa. Debe conservarse tal cual.","4 Canvas-local (negocia el reparto con el lienzo)","Tirador en el borde.","Igual.","No aplica; en su lugar hay detents.","Arrastre o flechas/Home/End con foco en el separador.","Arrastre; el tirador es fino.","Sí: el tirador es una banda estrecha.","No.","persistente","panel","—","Ancho actualizado en vivo y persistido.","El separador es parada de tabulación.","Directo: cada píxel sale del lienzo.","El default de 320px es el que produce el canvas-budget invertido. La palanca existe; el punto de partida está mal.","Tirador de redimensión: ancho de acierto vs ancho dibujado.","Anchura preferida real de los usuarios."
"SHL-20","Shell","Elegir el detent de la hoja Inspector en táctil","Ver más propiedades o más lienzo sin cerrar el panel.","Tres detents (`compact`/`medium`/`large`) con normalización por viewport: altura <340 fuerza `compact`; `large` cae a `medium` en apaisado o con altura <560.","src/features/workspace/useWorkspaceLayoutPreferences.ts:19-26; src/features/inspector/Inspector.tsx:205-212; src/features/workspace/WorkspaceShell.tsx:75-92","src/features/workspace/useWorkspaceLayoutPreferences.test.tsx","media","inferencia","contextual","Inspector en modo modal (Compact).","`modal === true`.","Grupo de tres botones en la cabecera de la hoja.","Ninguna.","F-01 («detents normalizados por viewport» citado como fortaleza).","La normalización reacciona a `resize`, `orientationchange` Y `visualViewport.resize` — cubre el teclado en pantalla.","6 Workflow temporal / hoja","No existe: en Expanded el equivalente es el ancho (SHL-19).","No existe hoy.","Tres botones en la hoja.","Tab + Enter.","Tap. NO hay arrastre del tirador para cambiar detent.","No.","No.","persistente dentro de la hoja","sheet","El detent se corrige solo cuando el viewport no lo admite.","La hoja cambia de altura.","La hoja atrapa el foco y Escape la cierra.","Directo en Compact.","Los detents son la respuesta táctil al mismo problema que el ancho resuelve en puntero. Medium no tiene NINGUNA de las dos.","Hoja con detents: tirador arrastrable además de los botones.","Si el usuario descubre los tres botones o arrastra esperando cambiar de detent."
"SHL-21","Shell","Conocer el estado de persistencia y conectividad","Saber si el trabajo está a salvo.","Siete estados derivados: `local`, `offline`, `recovered`, `load-error`, `save-error`, `conflict`, `repository-error`. Escucha `online`/`offline` del navegador.","src/features/topbar/TopBar.tsx:107-115, 204-243, 529","src/features/topbar/TopBar.test.tsx; src/storage/projectRepository.test.ts","alta","evidencia","esencial","Estado del repositorio + conectividad.","Ninguna.","Chip en TopBar (colapsa a icono en Compact) y bloque con descripción dentro de «Más».","Dos representaciones: resumen glanceable y explicación.","F-08 (la degradación del TopBar en Compact incluye autosave→icono, y es correcta).","Siete estados distinguidos de verdad, con `role=""status""` y `aria-live`. Los errores no se disfrazan de éxito.","1 Global persistente","Chip con etiqueta.","Igual.","Icono; el detalle en «Más».","Es informativo, no accionable.","Igual.","No.","No.","persistente","canvas chrome","Los siete.","`aria-live=""polite""`, `aria-atomic`.","—","Parte del TopBar.","HUECO: el estado `conflict` informa pero no ofrece acción. La restauración vive en el Project Hub, en otra pantalla (ENT-09).","Escala de estados de almacenamiento con forma además de color.","Si el usuario entiende «recuperado» sin más contexto."
"SHL-22","Shell","Exportar el proyecto y compartirlo","Sacar el trabajo de la app: datos, informe, imagen o papel.","SIETE salidas: JSON, copiar al portapapeles (con caída a descarga), PDF de cálculo, bundle `.structureco`, SVG, PNG e imprimir. PDF y bundle analizan primero si hace falta (`analyzeForPortableExport`) y aseguran la traza educativa.","src/features/topbar/TopBar.tsx:256-304, 457-472, 518-527; src/utils/portable.ts; src/utils/export.ts; src/utils/pdf/","src/features/topbar/portableExportAnalysis.test.ts; scripts/inspect-pdf.mjs","baja","inferencia","esencial","Proyecto; algunas salidas requieren análisis.","Ninguna para JSON/SVG/PNG.","Menú de exportación (icono propio) en TopBar + sección Exportar de «Más» (las 7 repetidas) + 4 comandos en la paleta.","TRES puertas con las MISMAS 7 acciones. Es la duplicación menos justificada del producto.","F-06 (las 6 acciones de exportación son 6 de las 19 entradas del cajón «Más»).","La caída del portapapeles a descarga cuando no hay contexto seguro. Y que PDF/bundle no exporten un análisis inexistente en silencio.","2 Contextual a proyecto + 8 Configuración/utilidad","Menú de exportación propio.","Igual.","«Más» › Exportar.","Menú con navegación por flechas.","Tap.","No.","No.","persistente en Expanded","modal (popover)","PDF/bundle: `disabled` mientras `isAnalyzing` o hay otra exportación en curso; etiqueta cambiante («Analizando…» → «Generando…»); `portable-export-error` con `role=""alert""`.","Toast de éxito; error inline en el menú.","Escape cierra y devuelve foco.","Un icono en el TopBar.","Siete salidas × tres puertas = 21 afordancias para una familia de baja frecuencia. Es el caso más claro de ""duplicación innecesaria"".","Menú de exportación agrupado por destino (datos / informe / imagen).","Qué salidas se usan realmente."
"SHL-23","Shell","Recibir avisos transitorios (toasts)","Enterarse de que algo pasó sin perder el sitio.","Comando `show-toast` del bus con tonos `success|info|warning|error` y duración. Un solo componente lo consume.","src/features/workspace/workspaceCommands.ts:53-59; src/features/workspace/ToastNotification.tsx","src/features/workspace/ToastNotification.test.tsx","media","evidencia","contextual","Cualquier acción que lo emita.","Ninguna.","Sobre el lienzo, dentro del `workspace` slot.","Ninguna.","—","Un solo canal tipado para todos los avisos: no hay tres sistemas de notificación compitiendo.","1 Global persistente (canal)","Sobre el lienzo.","Igual.","Igual.","No es accionable.","Igual.","No.","No.","transitorio","overlay sobre canvas","Cuatro tonos.","Es el feedback.","No roba el foco.","Ocupa lienzo mientras dura.","¿Qué merece toast y qué merece estado persistente? Hoy el toast de Model Doctor compite con el chip de AnalysisStatus.","Toast bajo Brandbook con los cuatro tonos.","—"
"SHL-24","Shell","Actualizar la app instalada (PWA)","Recibir una versión nueva sin perder el trabajo.","`watchForPwaUpdates` + `PwaUpdateNotice` con `applyUpdate()`. Carga perezosa.","src/platform/pwaLifecycle.ts; src/platform/PwaUpdateNotice.tsx; src/App.tsx:18","src/platform/pwaLifecycle.test.ts","baja","evidencia","secundaria","Service worker con versión nueva.","App instalada / SW registrado.","Aviso propio.","Ninguna.","F-11 (el favicon/manifest usan `#157A55`, un verde distinto del de la app).","La actualización se ofrece, no se impone.","1 Global persistente","Aviso.","Igual.","Igual.","Tab + Enter.","Tap.","No.","No.","transitorio","overlay","Sólo aparece cuando hay actualización.","Recarga controlada.","No verificado.","Puntual.","—","Coherencia del verde de marca entre icono instalado y CTA (F-11).","Si se pierde estado no persistido al aplicar la actualización."
"MOD-01","Modelado","Elegir herramienta activa","Poner el lienzo en el modo de la tarea que se va a hacer.","`TOOL_REGISTRY` con 12 herramientas en 5 grupos (navegar, crear, cargas, inspeccionar, editar). Cada una declara atajo, colocación móvil (`primary`/`loads`/`more`) y si es avanzada de Aula.","src/features/canvas/toolRegistry.ts:32-45; src/features/canvas/ToolBar.tsx:353-437","src/features/canvas/toolRegistry.test.ts; src/features/canvas/ToolBar.test.tsx","alta","evidencia","esencial","Ninguno: crear geometría no depende de la selección.","Ninguna.","ToolRail (164px permanentes en Expanded) + dock flotante de 5 botones en Compact.","Atajos de una tecla (V H N M S P D O C X B) + comandos de paleta + hoja «Más» táctil.","F-01 (el rail no se contrae entre 1024 y 1439); F-04 (dos gramáticas de estado activo conviven: `sc-tool-button.is-active` que hunde, y la regla legacy `.tool-button.active` que tiñe de plano — el componente pasa AMBAS clases).","Un solo registro de herramientas alimenta rail, dock táctil, hoja móvil y paleta. Añadir una herramienta es una línea, no cuatro superficies.","1 Global persistente (crear) + 4 Canvas-local","Rail con etiqueta y `kbd` visible.","Rail idéntico (no se contrae solo — F-01).","Dock flotante horizontal sobre el lienzo con 5 destinos: Seleccionar, Nodo, Barra, Apoyo, Cargas▸, Más▸.","Tecla única por herramienta (`toolFromShortcut`). Es la ruta más rápida del producto.","Tap en el dock; las herramientas secundarias viven en dos hojas modales (`loads`, `more`).","No para elegir; sí para usar (ver SEL/CNV).","Parcialmente: el grupo «Editar» sólo muestra el lanzador de edición estructural si `canEditSelection`. Es el único caso de contextualidad del rail.","persistente","canvas chrome (rail/dock)","Activa = hundida (Clay) y además teñida (legacy).","Badge de modo sobre el lienzo (`canvas-mode-badge`) con instrucción de colocación.","Escape devuelve a `select` y limpia el estado de colocación.","ToolRail = 14.1% del viewport en 1024×768; 9.7% en 1536×960.","Las herramientas de CREACIÓN no pueden depender de la selección (no hay nada seleccionado al crear). Las de EDICIÓN sí. El rail hoy no distingue.","Unificar la gramática de estado activo: hundido, nunca teñido y hundido a la vez.","Frecuencia relativa entre herramientas."
"MOD-02","Modelado","Crear un nudo","Añadir un punto a la estructura.","Herramienta `node` (tecla N). Clic/tap en el fondo del lienzo → `addNode(modelPointFromClient(...))`, con snap activo si procede.","src/features/canvas/StructuralCanvas.tsx:1317; src/utils/snapping.ts","src/features/canvas/StructuralCanvas.structuralEditing.test.tsx; qa.mjs","alta","inferencia","esencial","Ninguno.","Herramienta `node` activa.","Lienzo, con la herramienta activa.","Datasheet no crea nudos sueltos (crea por edición de celda sobre filas existentes). Generadores crean nudos en lote. Entrada rápida numérica (MOD-11).","F-02 (bloque `(pointer:coarse)` correcto: `.node-object .node-hit { r:22px }`).","Área de acierto táctil ampliada SIN engordar el trazo dibujado. Es exactamente la separación que pide el Brandbook §02.","4 Canvas-local","Rail → clic.","Igual.","Dock → tap.","N + clic. Snap a rejilla/nudos/puntos medios/intersecciones/perpendicular según `snapTargets`.","Tap con lupa activa durante la colocación (`syncTouchLoupe`).","Sí. Resuelta con: snap configurable + lupa táctil + entrada numérica.","No.","persistente","canvas","Instrucción de colocación en el badge de modo.","Nudo dibujado + lectura de coordenadas en el chrome.","Escape cancela y vuelve a `select`.","Consume lienzo sólo mientras se coloca.","—","Retícula de snap y su realimentación visual.","Frecuencia real."
"MOD-03","Modelado","Crear una barra","Conectar dos nudos con un elemento estructural.","Herramienta `member` (tecla M) en dos tiempos: `createMemberEndpoint` guarda el origen (`memberStart`) y el segundo punto cierra la barra. Crea nudos si no existen.","src/features/canvas/StructuralCanvas.tsx:1318; src/data/modelOperations.ts","src/features/canvas/StructuralCanvas.structuralEditing.test.tsx","alta","inferencia","esencial","Ninguno.","Herramienta `member` activa.","Lienzo.","Generadores (MOD-14) para lotes; Repeat (MOD-12) para repetir la última.","F-02 (`.member-hit { stroke-width:44 }` bajo puntero grueso).","El estado intermedio (origen elegido, esperando destino) se cancela con Escape y se anuncia en el badge de modo.","4 Canvas-local + 6 Workflow temporal (los dos tiempos)","Rail → dos clics.","Igual.","Dock → dos taps.","M + dos clics; Escape cancela a medio camino.","Dos taps con lupa.","Sí: el segundo punto debe caer en un nudo concreto.","No.","persistente","canvas","Estado intermedio explícito con instrucción.","Previsualización + barra dibujada.","Escape limpia `memberStart`.","—","El patrón ""operación en dos tiempos con estado intermedio"" existe aquí, en cut y en la edición estructural. ¿Es un patrón del sistema?","Estado intermedio de creación: cómo se lee que falta un paso.","Frecuencia real."
"MOD-04","Modelado","Aplicar o cambiar un apoyo","Definir cómo está sujeta la estructura.","Herramienta `support` (tecla S) sobre un nudo → `performNodeAction`. Alternativamente, el Inspector edita `supportType` (pin/roller/fixed/custom/none), `angleDeg`, `restrainX/Y/R`, muelles `kx/ky/kr/kNormal` y desplazamientos prescritos.","src/features/canvas/StructuralCanvas.tsx:1188-1192; src/features/inspector/InspectorProperties.tsx:194-225","src/features/inspector/Inspector.test.tsx; src/features/bulk-edit/bulkEditSupports.test.ts","alta","inferencia","esencial","Nudo.","Nudo existente.","Lienzo (rápido, tipo por defecto) + Inspector (completo) + Datasheet (columna) + Bulk Edit (masivo).","CUATRO puertas, todas legítimas: gesto rápido, detalle, tabular y masivo.","F-03 (etiquetas del Inspector a 9px).","Los muelles y los desplazamientos prescritos existen y no se pierden al cambiar de tipo (`const spring = node.support.spring` se conserva).","3 Contextual a selección + 5 Inspector/detail","Lienzo + Inspector permanente.","Igual.","Lienzo + hoja Inspector.","S + clic para el rápido; Tab en el Inspector para el detalle.","Tap con herramienta; hoja Inspector para el detalle.","Sí: el apoyo se aplica a un nudo concreto entre varios cercanos.","SÍ, plenamente: sólo tiene sentido con un nudo (o varios) seleccionado.","persistente (herramienta) + contextual (propiedades)","canvas + inspector + table","El Inspector sólo muestra la sección si hay nudo seleccionado.","Símbolo de apoyo en el lienzo.","Escape deselecciona.","El Inspector permanente es el mayor consumidor (27.6% en 1024×768).","La herramienta `support` del rail está SIEMPRE visible aunque no haya nudo; la edición fina está SIEMPRE visible aunque no haya selección. Ambas mitades son candidatas a contexto.","Editor de apoyo: tipo, ángulo, restricciones y muelles en una sola lectura.","Qué tipo de apoyo se usa más."
"MOD-05","Modelado","Colocar una carga puntual","Aplicar una fuerza en un nudo o en un punto de una barra.","Herramienta `pointLoad` (tecla P). Sobre `memberLoad` existente, la herramienta resuelve al MIEMBRO soporte para permitir añadir otra carga encima.","src/features/canvas/StructuralCanvas.tsx:1218-1227, 1285-1288","src/engine/loadAudit.test.ts; src/features/canvas/StructuralCanvas.structuralEditing.test.tsx","alta","inferencia","esencial","Nudo o barra.","Herramienta activa.","Lienzo + hoja «Cargas» del dock táctil + pestaña Cargas del Inspector (que sólo ELIGE la herramienta y cierra).","Tres lanzadores para la misma herramienta.","F-02 (`.load-hit { stroke-width:44 }` bajo puntero grueso). F-03 (`text.preview-load-label` «Fy» a 8px sobre el lienzo).","La resolución de objetivo es deliberada y está comentada: las cargas son fáciles de acertar pero no bloquean las herramientas cuyo destino es la barra.","4 Canvas-local + 3 Contextual a selección","Rail grupo «Cargas».","Igual.","Dock → hoja «Cargas».","P + clic.","Tap → hoja → tap herramienta → tap destino (tres toques).","Sí: distinguir nudo de barra de carga existente en el mismo punto.","SÍ.","persistente","canvas + sheet","Instrucción de colocación explícita.","Símbolo de carga + rótulo con la magnitud.","Escape cancela la colocación (botón X en el badge de modo).","—","En Compact colocar una carga cuesta 3 toques frente a 2 en Expanded. ¿Es aceptable o es el precio de no tener rail?","Símbolo de carga y su rótulo: hoy el rótulo va a 8px.","Frecuencia relativa entre tipos de carga."
